# {"t_start": 1586209891.9043438, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,127,1.641177
2.0,198,3.104354
2.0,204,4.332607
0.0,129,5.169413
2.0,202,6.675096
3.0,272,8.468763
4.0,300,10.482281
0.0,127,11.272359
9.0,399,13.943684
4.0,321,16.056838
5.0,352,18.736413
2.0,202,20.239496
0.0,127,21.235745
5.0,350,24.054897
0.0,129,25.061958
0.0,129,26.075042
0.0,127,27.075945
0.0,125,27.773485
0.0,127,28.750141
0.0,129,29.773544
13.0,457,33.483073
0.0,127,34.171334
0.0,129,35.128947
5.0,350,37.975795
2.0,202,39.479457
2.0,202,41.458932
4.0,297,43.839925
0.0,125,44.839179
10.0,450,48.358579
2.0,202,50.146199
5.0,326,52.8153
0.0,127,53.776129
0.0,127,54.771021
0.0,129,55.814599
0.0,125,56.725157
0.0,127,57.720399
0.0,127,58.705011
0.0,129,59.68275
10.0,454,63.210841
0.0,125,64.2502
5.0,350,66.970578
2.0,202,68.707247
0.0,127,69.854505
4.0,297,72.28922
0.0,125,73.318594
2.0,202,74.79689
5.0,350,77.650589
4.0,297,79.929454
2.0,200,81.592588
0.0,129,82.626129
5.0,350,85.255845
1.0,157,86.444696
1.0,173,87.987485
10.0,453,91.558551
0.0,129,92.505878
0.0,129,93.463334
4.0,295,95.699327
8.0,466,99.247763
1.0,155,100.678733
10.0,476,104.127384
7.0,248,106.066716
8.0,278,108.162421
8.0,471,111.935021
5.0,348,114.524774
1.0,153,115.652927
5.0,348,118.465122
4.0,319,120.917054
1.0,152,122.074476
1.0,154,123.442245
7.0,413,126.558696
7.0,248,128.221597
12.0,475,132.024832
11.0,472,135.802992
0.0,129,136.792154
11.0,271,138.891335
0.0,127,139.570583
0.0,129,140.600331
6.0,377,143.584871
6.0,367,146.452441
17.0,578,150.818053
9.0,477,154.659804
9.0,439,158.071724
13.0,552,162.844342
11.0,472,167.663857
0.0,129,168.7821
3.0,232,170.928271
0.0,129,172.040738
11.0,394,175.444192
14.0,579,180.356668
0.0,129,181.414111
0.0,127,182.484181
2.0,208,184.018818
9.0,495,188.252984
4.0,281,190.69569
12.0,519,195.244157
15.0,646,201.235553
1.0,155,202.519254
13.0,545,207.258893
12.0,302,209.929779
6.0,402,213.120285
10.0,515,217.988162
8.0,438,222.272948
3.0,235,224.048386
0.0,129,225.320396
0.0,127,226.346122
0.0,127,227.475485
1.0,175,228.693272
16.0,581,233.780232
14.0,577,238.108222
0.0,129,239.030976
8.0,438,242.250104
8.0,467,245.817243
0.0,129,246.723688
21.0,755,252.467197
