# {"t_start": 1586209891.7472775, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,129,1.818861
6.0,376,4.436629
5.0,372,7.063742
0.0,129,7.864503
0.0,127,8.702307
3.0,228,10.05573
0.0,129,10.925922
6.0,378,13.47601
0.0,125,14.269937
0.0,129,15.124415
0.0,129,15.977471
0.0,127,16.829661
5.0,350,19.337152
4.0,318,22.119865
4.0,299,24.369165
0.0,125,25.350816
3.0,248,27.362479
2.0,200,28.786324
0.0,127,29.808893
0.0,129,30.78046
0.0,127,31.747745
4.0,319,34.070742
0.0,127,35.03219
0.0,127,35.924573
2.0,202,37.353309
2.0,198,39.112279
0.0,129,40.301166
2.0,202,41.842441
0.0,127,42.901565
5.0,350,45.823966
5.0,350,48.439146
5.0,350,51.552271
5.0,372,54.641639
3.0,246,56.676172
0.0,125,57.381701
4.0,297,59.940435
0.0,127,60.906862
0.0,127,61.660959
3.0,248,63.59816
0.0,127,64.636646
5.0,350,67.605745
9.0,401,71.136708
2.0,202,72.648006
0.0,129,73.675811
0.0,129,74.67572
1.0,173,75.954799
9.0,404,79.140998
1.0,173,80.649513
2.0,202,82.091042
0.0,129,83.088328
1.0,173,84.381979
1.0,155,85.526527
3.0,271,87.667135
1.0,157,88.830377
0.0,127,89.846772
2.0,187,91.434494
2.0,221,92.988641
4.0,299,95.51422
0.0,129,96.213345
9.0,404,99.355906
2.0,224,101.18388
10.0,433,104.410753
0.0,129,105.38024
3.0,218,107.125722
2.0,203,108.511688
0.0,129,109.476422
10.0,451,113.109274
0.0,129,114.137834
7.0,250,115.836869
5.0,291,118.325269
1.0,155,119.436233
0.0,129,120.431293
1.0,154,121.566842
1.0,153,122.761771
1.0,155,123.804331
0.0,129,124.730721
1.0,153,125.811086
8.0,465,129.29857
13.0,553,133.814581
4.0,269,135.868318
1.0,177,137.134151
0.0,129,138.102091
3.0,236,139.747072
0.0,129,140.778432
7.0,250,142.700422
0.0,129,143.659067
2.0,185,144.919996
6.0,345,147.666223
1.0,177,148.882374
0.0,129,149.871452
6.0,340,152.535189
15.0,584,157.022216
5.0,318,159.90667
13.0,372,162.857868
8.0,447,167.567071
3.0,256,169.83754
3.0,253,171.827519
8.0,411,175.665366
3.0,211,177.234151
5.0,327,180.245411
0.0,129,180.975684
17.0,525,185.467217
14.0,423,189.277131
9.0,404,192.748888
0.0,129,193.858516
11.0,472,198.005446
7.0,398,201.593841
13.0,500,206.002437
12.0,522,210.784714
0.0,129,211.755374
17.0,523,216.347475
0.0,129,217.542573
14.0,590,222.878165
5.0,290,225.549046
11.0,450,229.575249
15.0,600,234.384058
3.0,256,236.303135
4.0,268,238.305785
8.0,277,240.359709
8.0,446,243.805207
10.0,451,247.052903
